,제목,가수,가사
0,사건의 지평선,윤하 (YOUNHA),"생각이 많은 건 말이야
당연히 해야 할 일이야
나에겐 우리가 지금 1순위야
안전한 유리병을 핑계로
바람을 가둬 둔 것 같지만

기억나? 그날의 우리가
잡았던 그 손엔 말이야
설레임보다 커다란 믿음이 담겨서
난 함박웃음을 지었지만
울음이 날 것도 같았어
소중한 건 언제나 두려움이니까

문을 열면 들리던 목소리
너로 인해 변해있던 따뜻한 공기
여전히 자신 없지만 안녕히

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니


여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

솔직히 두렵기도 하지만
노력은 우리에게 정답이 아니라서
마지막 선물은 산뜻한 안녕

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

사건의 지평선 너머로"
1,Nxde,(여자)아이들,"Why you think that ’bout nude
’Cause your view’s so rude
Think outside the box
Then you’ll like it
Hello my name is 예삐 예삐요
말투는 멍청한 듯 몸매는 섹시 섹시요
그럼 다이아 박힌 티아라 하나에
내가 퍽이나 웃게 퍽이나 웃게
뒤틀려버린 로렐라이
Don’t need no man
철학에 미친 독서광
Self-made woman
싸가지없는
이 Story에 무지 황당한
야유하는 관객들
You tricked me you’re a liar
아 발가벗겨져 버린 Movie star
아 별빛이 깨져버린 밤
꼴이 볼품없대도 망가진다 해도
다신 사랑받지 못한대도
Yes I’m a nude
Nude 따따랏따라
Yes I’m a nude
Nude I don’t give a love
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
(Ouch!)
실례합니다 여기 계신 모두
야한 작품을 기대하셨다면
Oh I’m sorry 그딴 건 없어요
환불은 저쪽 대중은 흥미 없는 정보
그 팝콘을 던져도 덤덤
행복과 반비례 평점
But my 정점 멋대로 낸
편견은 토할 거 같지
아 발가벗겨져 버린 Movie star
아 더 부끄러울 게 없는 밤
꼴이 볼품없대도 어쩌면 네게도
다신 사랑받지 못한대도
Yes I’m a nude
Nude 따따랏따라
Yes I’m a nude
Nude I don’t give a love
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Um ha um ha um ha um
Yes I'm a nude
Yes I'm a nude
Now I draw a luxury nude
Why you think that ’bout nude
’Cause your view’s so rude
Think outside the box
까고 말해
아리따운 나의 누드
아름다운 나의 누드
I’m born nude
변태는 너야
Rude
Nude"
2,ANTIFRAGILE,LE SSERAFIM (르세라핌),"Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
가시밭길 위로 riding
you made me boost up
거짓으로 가득 찬 party
가렵지도 않아
내 뒤에 말들이 많아
나도 첨 듣는 내 rival
모두 기도해 내 falling
그 손 위로 I’mma jump in
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
“Lovey lovey lovey
dovey dovey dovey”
멋대로 정하네 나란 애에 대해
I don't know what to say
I can't feel it
뜨거운 관심은 환영
귀여운 질투는 go ahead
줄 달린 인형은 no thanks
내 미랠 쓸 나의 노래
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
‘Cause I’m gonna break out
gonna gonna break out out
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
'Cause I’m gonna break out
gonna gonna break out out
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile"
3,Hype boy,NewJeans,"(1,2,3,4)
Baby, got me looking so crazy
빠져버리는 daydream
Got me feeling you
너도 말해줄래

누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

잠에 들려고 잠에 들려 해도
네 생각에 또 새벽 세 시 uh-oh
알려줄 거야 they can’t have you no more
봐봐 여기 내 이름 써있다고
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy"
4,After LIKE,IVE (아이브),"또 모르지 내 마음이
저 날씨처럼 바뀔지
날 나조차 다 알 수 없으니
그게 뭐가 중요하니
지금 네게 완전히
푹 빠졌단 게 중요한 거지
아마 꿈만 같겠지만
분명 꿈이 아니야
달리 설명할 수 없는
이건 사랑일 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
조심해 두 심장에 핀
새파란 이 불꽃이
저 태양보다 뜨거울 테니
난 저 위로 또 아래로
내 그래프는 폭이 커
Yeah that's me
두 번 세 번 피곤하게
자꾸 질문하지 마
내 장점이 뭔지 알아?
바로 솔직한 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
What after like 내 맘에 strike
지금 느낀 짜릿함은 마치 tike
LO 다음에 I 그 다음에 VE
여긴 너와 내 space
아무도 막지 못해
나를 보면 눈 깜빡할
시간 조차도 아까울 걸
드디어 만나 반가워
LOVE 사이 놓일 I
(What's after 'LIKE'?)
You and I
It's more than 'LIKE'
E 앞 또 V 앞 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?"
5,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),"기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥
11년째 freshman
유명세를 걷어
현찰 대신 스펙을 stackin’
Ooh! You’re not savage
남의 멋만 쌔비지
난 취향을 감춰 그래
내 세컨 카는 수수께끼
Show and prove의 심볼
넘볼 수 없는 임금
The king is back 뽷!
다시 ’코’시국
암만 영끌해도 근본은 절대 못 사
눈팅으로 배운 너의 street fashion
뚜까 패고파
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
아마 나는 오늘도
미치게 하겠지 workin’
이유는 뻔하지 새로운 옷이
알어 니 위치는 겉만 하지 마
건방 빌린 게 티 나서 bro
이제 여름이 오니까 준비해
내 목에다 채워질 아이스체인
1234 옷을 세는 것도 지겨워 man
New thang
I love my hates
원해 new chain
우리 엄만 생일마다
새 가방이 생기지
신기록 갱신
우린 없어 배신
나는 매일 새신
Yessir I really came from zero
그래서 2배로 work
책임을 가진 삶은 생각보다 괴로워
언제나 let's go hard
내 옷은 새로워
난 운전할 때마다 맨 앞이라 외로워
안 무셔 drip check
내 옷들은 늘 새삥
아무도 못 말려 나란 바닥노무 쉐낀
멈출 수 없어 난 쌓아야 해 stack
안전모를 썼던
나는 절대 못해 cap
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥 모든 게 다 새삥"
6,Rush Hour (Feat. j-hope of BTS),Crush,"Yo I’ve been walking on the street yo
유엔빌리지에서 한강진역
이태원을 지나왔어 언덕길로
클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱
그게 자그마치 2년
입에 단내가 나 미칠 지경
작업실로 당당하게 내비 찍어
This is Crush hour 비켜라 비켜

We gotta celebrate 넌 즐기기만 해
누가 뭐래도 Baby
Hey ladies and gentlemen,
do what you wanna do baby

그러니까 너넨 히비히비합 질러 빽빽
다시 Clap clap clap and then hit that
하나둘 모여 마치 Traffic jam
Get up get up

그러니까 너넨 히비히비합 질러 땍땍
따라 해 어때 생각보다 쉽지
모두 모여 마치 Traffic jam
Get up (get up) get on up

Yo I’ve been walking on the street yo
서울숲에서부터 근방 직경
But 어딜 가든 이젠 레드카펫 Feel yo
사진 소리 찰칵찰칵 가는 길마다 찍어 찍어
붐비는 People, 마치 Traffic 기분
보험마저 없는 내 미래 비전
Y’all trippin’, whole lotta freaks
And now, Crush hour 난 그냥 형 따라 직진

We gotta celebrate 넌 즐기기만 해
누가 뭐래도 Baby
Hey ladies and gentlemen,
do what you wanna do baby

그러니까 너넨 히비히비합 질러 빽빽 (빽빽)
다시 Clap clap clap and then hit that (hit that)
하나둘 모여 마치 Traffic jam
Get up get up

그러니까 너넨 히비히비합 질러 땍땍 (땍땍)
따라 해 어때 생각보다 쉽지
모두 모여 마치 Traffic jam
Get up (get up, rush hour)
Take’em to the bridge

La la la la la la la la
La la la la la la la
La la la la la la la la
La la la la la la la

This is Crush hour, Crush hour, Crush hour
This is Crush hour, Crush hour, Crush hour

Watch Out (Watch Out)
Watch Out (Watch Out)

This is Crush hour, Crush hour, Crush hour"
7,Attention,NewJeans,"You and me
내 맘이 보이지
한참을 쳐다봐
가까이 다가가
You see
You see, ey ey ey ey

One, two, three
용기가 생겼지
이미 아는 네 눈치
고개를 돌려 천천히
여기
You see
여기 보이니

Looking for attention 너야겠어
확실하게 나로 만들겠어
Stop, eyyy
Drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

널 우연히 마주친 척할래
못 본 척 지나갈래
You’re so fine
Gotta gotta get to know ya
나와 나와 걸어가 줘

지금 돌아서면
I need ya, need ya, need ya
To look at me back
Hey 다 들켰었나
널 보면 하트가 튀어나와

난 사탕을 찾는 baby (baby)
내 맘은 설레이지
Eyyy, drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
You got me looking for attention"
8,Monologue,테이,"다 잊었다는 거짓말
또 해 버렸죠
내 마음에 그대란 사람
없다고 했죠
너무나 쉽게 잊혀졌다고
이젠 남이라고
서툰 내 사랑에 지쳐 떠난 그대
너무 많이 울려서
잡을 용기조차 낼 수 없었죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요 더 이상은
그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요
너무 투명해서 때론 불안했죠
제멋대로 살아온 나를
감당할 수 없을 것 같죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
고마웠어요 나를 사랑해 줘서
나 같은 사람이 두 번 다시
감히 받을 수 없는 사랑
그대 때문에 행복했어요
울지 마요 그대
잘 생각해 봐요
나쁜 일들만 가득했던 우리
다 잊어야 해요
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요
더 이상은 그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요"
9,Shut Down,BLACKPINK,"Blackpink in your area
Blackpink in your area

컴백이 아냐 떠난 적 없으니까
고개들이 돌아 진정해 목 꺾일라
분홍빛의 얼음 drip drip drip
freeze ‘em on sight
Shut it down what what what what

게임이 아냐 진 적이 없으니까
짖어봐 네 목에 목줄은 내 거니까
땅바닥에 닿은 pedal we go two zero five
Shut it down uh uh uh uh

초록 비를 내려 머리 위로 Don’t trip, baby
겸손하게 그냥 앉아있어 Just sit, baby

Praying for my downfall,
many have tried, baby
Catch me when you hear my Lamborghini go vroom, vroom, vroom,
vroom

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
It’s black and it’s pink once the sun
down

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
Keep watching me shut it down

Nah
You don’t wanna be on my bad side
that’s right I’m slidin’ through
Bunch of wannabes that wanna be me,
me three if I was you
Been around the world, pearls on ya
girl, VVS's we invested uh
Need a lesson see the necklace,
see these dresses
We don’t buy it we request it uh

A rockstar, a popstar but rowdier
Say bye to the paparazzi, get my
good side, I'll smile for ya
Know it ain’t fair to ya, it’s scarin’ ya
like what now
Blackpink in your area, the area been
shut down. It’s a shutdown

네 다음 답안지야 똑바로 봐
don’t sleep baby
뒤집어봐 이건 가격표야 ain’t cheap baby

Stay in your own lane ‘cause
I’m ‘bout to swerve
Catch me when you hear my Lamborghini go vroom, vroom, vroom,
vroom

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down


Whip it whip it whip it whip it
Whip it whip it whip it whip it

It’s black and it’s pink once the sun
down

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down

Whip it whip it whip it whip it
Whip it whip it whip it whip it

Keep watching me shut it down

Shut it down Blackpink in your area
Shut it down woah woah woah woah
Shut it down Blackpink in your area
Keep talking we shut you down"
